phrases;intention;class
activer un renvoi d'appel;renvoi d'appel;1
demande à djingo pro de renvoyer les appels;renvoi d'appel;1
de renvoyer les appels;renvoi d'appel;1
aide moi à renvoyer mes appels;renvoi d'appel;1
je veux renvoyer mes appels;renvoi d'appel;1
Renvoi mes appels;renvoi d'appel;1
Renvoi mes appels vers le ;renvoi d'appel;1
je veux que tu renvoi mes appels vers le ;renvoi d'appel;1
 je veux que tu renvoi mes appels vers mon ;renvoi d'appel;1
renvoi mes appels vers mon ;renvoi d'appel;1
je veux annuler les renvoi d appels;annulation renvoi d'appel;2
je veux annuler le renvoi d appels;annulation renvoi d'appel;2
annule les renvois de mes appels;annulation renvoi d'appel;2
annule les renvois des appels;annulation renvoi d'appel;2
annule les renvois d appels;annulation renvoi d'appel;2
Annule le renvoi de mes appels;annulation renvoi d'appel;2
je souhaite annuler le renvoi d'appels;annulation renvoi d'appel;2
annule renvoi d'appels;annulation renvoi d'appel;2
annule mon renvoi d'appels;annulation renvoi d'appel;2
annule le renvoi d'appels;annulation renvoi d'appel;2
je veux annuler mon renvoi d'appels;annulation renvoi d'appel;2
je suis revenu;retour bureau ;3
de retour;retour bureau ;3
je suis rentré;retour bureau ;3
je suis de retour;retour bureau ;3
de retour au bureau ;retour bureau ;3
je suis là;retour bureau ;3
je suis déjà là;retour bureau ;3
